R７年度　江東区地域活動栄養士会　活動報告,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,日付,場所,内容,担当栄養士,対象者,参加人数,備考,,,,,,,,,,,,,,,,,,,
１,2025/4/23,元加賀幼稚園,元加賀幼稚園食育プログラム①,関,園児,19名,年長・年中,,,,,,,,,,,,,,,,,,,
２,2025/5/1,"文化センター
会議室",総　会,全員,,,,,,,,,,,,,,,,,,,,,,
３,2025/5/1,"文化センター
会議室",食品衛生講習会,全員,,,,,,,,,,,,,,,,,,,,,,
４,2025/5/9,"江東区役所
７階71会議室","令和７年度第1回
食品衛生推進会議",米澤,,,,,,,,,,,,,,,,,,,,,,
５,2025/6/1,"埼玉県
川越市",食と農のPJ①田植え,小松,"小学生、
保護者",６名,小２×３,,,,,,,,,,,,,,,,,,,
６,2025/7/14,元加賀幼稚園,元加賀幼稚園食育プログラム②,関,園児,21名,年長・年中,,,,,,,,,,,,,,,,,,,
７,2025/7/18,"ロイヤルホスト
西大島",役員会,役員,,,,,,,,,,,,,,,,,,,,,,
８,2025/6/20,"総合区民センター
会議室","研修会①食事摂取基準２０２５年版
(高橋東生先生)",全員,,,,,,,,,,,,,,,,,,,,,,
９,2025/9/7,"埼玉県
川越市",食と農のPJ②稲刈り,小松,"小学生、
保護者",８名,"小２×３
未就学児",,,,,,,,,,,,,,,,,,,
１０,2025/9/10,元加賀幼稚園,元加賀幼稚園食育プログラム③,関,園児,19名,年長・年中,,,,,,,,,,,,,,,,,,,
１１,2025/9/16,江東区保健所,"第21回おいしいメニュー
コンクール一次審査",米澤,,,書類審査,,,,,,,,,,,,,,,,,,,
１２,2025/10/4,zoom配信,"骨からはじめる健康美
骨粗しょう症・更年期予防講座",米澤,江東区民,70名,,,,,,,,,,,,,,,,,,,,
１３,2025/10/5,"総合区民センター
調理室",研修会②調理実習,全員,,,,,,,,,,,,,,,,,,,,,,
R７年度　江東区地域活動栄養士会　活動報告,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,日付,場所,内容,担当栄養士,対象者,参加人数,備考,,,,,,,,,,,,,,,,,,,
１４,2025/10/11,深川保健相談所,"第21回おいしいメニュー
コンクール二次審査",米澤,,,調理審査,,,,,,,,,,,,,,,,,,,
１５,2025/10/19,"
木場公園
","区民まつり
食品衛生推進委員・相談会",米澤,江東区民,,リーフレット配布,,,,,,,,,,,,,,,,,,,
１６,2025/11/8,第四大島小学校,"第四大島小学校四大まつり
栄養士会ブース","直井、中島、
岡島、村上仁","小学生、
未就学児",４９名,"食育の話
野菜スタンプ",,,,,,,,,,,,,,,,,,,
１７,2025/12/7,"総合区民センター
調理室",食と農のPJ　親子料理教室,"米澤、村上和、
村上仁、小松","小学生、
保護者",１２名,,,,,,,,,,,,,,,,,,,,
１８,2025/12/13,南砂みずべ,"助産師：沐浴体験
見学・プレママ食事講話",片山、米澤,プレママ,４名,夫婦２組,,,,,,,,,,,,,,,,,,,
１９,2025/12/17,元加賀幼稚園,元加賀幼稚園食育プログラム④,関,園児,19名,年長・年中,,,,,,,,,,,,,,,,,,,
２０,2025/12/22,"ロイヤルホスト
西大島",役員会,役員,,,,,,,,,,,,,,,,,,,,,,
２１,202512/25,"総合区民センター
調理室","本郷中学ラグビー部員対象
料理教室＆栄養教育",村上、村上,"部員
保護者",１３名,,,,,,,,,,,,,,,,,,,,
２２,2026/2/11,和食さと,"新年会兼
意見交換会",,,,,,,,,,,,,,,,,,,,,,,
２３,2026/2/20,元加賀幼稚園,元加賀幼稚園食育プログラム⑤,関,園児,9名,年長・年中,,,,,,,,,,,,,,,,,,,
２４,2026/3/1,総合区民センター,"ら・館まつり
「防災食をたべてみよう」","米澤・小松・直井
村上・工藤・関",,21名,"大人16名
子供5名",,,,,,,,,,,,,,,,,,,
２５,2026/3/12,"総合区民センター
調理室","本郷中学ラグビー部員対象
料理教室＆栄養教育",村上、村上,"部員
保護者",１３名,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
